requirement_id,title,status,completeness_percent,primary_evidence,top_blocker
1,"User Authentication and Authorization",Partial,55,"lib/utils/auth.ts","No RBAC enforcement by role"
2,"Appraisal Creation Wizard",Partial,70,"app/(dashboard)/appraisals/[id]/wizard/page.tsx","Step components often don't persist via onChange"
3,"AI-Powered Document Analysis",Partial,45,"lib/ai/gemini.ts","Client sends documentId while API expects documentUrl/documentType"
4,"File Upload and Storage",Partial,40,"app/api/documents/upload/route.ts","Blob upload uses access: public"
5,"VIN Decoding and Vehicle Information",Missing,10,"app/_components/wizard/Step1VehicleInfo.tsx","VIN decoding API not integrated"
6,"Comparable Vehicle Search",Partial,35,"lib/scraping/apify-search.ts","Apify actor is placeholder 'your-actor-id'"
7,"Valuation Calculations",Partial,60,"lib/calculations/valuation.ts","dvPercentOfRepair hardcoded 0"
8,"Damage Severity Classification",Partial,75,"lib/calculations/severity-classifier.ts","No tests for boundary conditions"
9,"Narrative Generation",Missing,15,"lib/pdf/generator.tsx","No dedicated repair/market-stigma narrative engine in runtime"
10,"State-Specific Legal Citations",Partial,70,"lib/legal/state-citations.ts","Not fully wired into report generation pipeline"
11,"PDF Report Generation",Partial,25,"lib/pdf/generator.tsx","Only single cover-like page implemented"
12,"Report Preview and Download",Partial,35,"app/(dashboard)/appraisals/[id]/preview/page.tsx","Routes pushed to /appraisals/* instead of /dashboard/appraisals/*"
13,"Document Template Generation",Partial,25,"lib/templates/demand-letter-ga.ts","Only 2/7 templates present"
14,"Payment Processing",Partial,50,"app/api/checkout/route.ts","Runtime expects STRIPE_*_PRICE_ID keys missing from env template"
15,"Email Delivery",Partial,45,"lib/email/sendgrid.ts","Only report email route wired"
16,"Dashboard and Appraisal Management",Partial,40,"app/(dashboard)/dashboard/page.tsx","Duplicate/archive/bulk download/share actions are TODO"
17,"Document Library",Broken,25,"app/(dashboard)/appraisals/[id]/documents/page.tsx","Documents page placeholder"
18,"Role-Based Features",Missing,15,"app/(auth)/onboarding/page.tsx","Role saved but not enforced at feature/API level"
19,"Onboarding and Role Selection",Partial,60,"app/(auth)/onboarding/page.tsx","Onboarding writes directly to webhook endpoint"
20,"State Law Warning Banners",Partial,65,"app/_components/StateLawBanner.tsx","Step1 state source tied to ownerInfo that may not be set yet"
21,"Data Validation and Error Handling",Partial,30,"lib/validation/schemas.ts","Most endpoints skip Zod request validation"
22,"Performance Requirements",Missing,20,"app/_components/wizard/WizardLayout.tsx","No latency SLO instrumentation"
23,"Security Requirements",Partial,25,"lib/storage/blob.ts","Public blob storage access"
24,"Database Schema and Data Persistence",Partial,55,"lib/db/schema.ts","No explicit indexes defined in schema file"
25,"Repair Estimate Line-Item Extraction",Partial,45,"lib/ai/extract-repair-estimate.ts","Extraction output not mapped to Step3 persistently"
26,"Before and After Image Analysis",Partial,35,"lib/ai/analyze-images.ts","Function analyzes first image only"
27,"Educational Resources and Negotiation Guidance",Missing,0,"app/(dashboard)/layout.tsx","No resources pages/content modules implemented"
28,"Responsive Design and Mobile Support",Partial,55,"app/_components/wizard/*","No formal mobile browser test evidence"
29,"Accessibility Compliance",Partial,25,"app/_components/wizard/*.tsx","No accessibility test suite"
30,"Environment Configuration",Partial,60,"lib/env.ts","Price ID key naming mismatch"
